name,code,link,manager
长信量化先锋混合C,004221,http://fundf10.eastmoney.com/004221.html,左金保
长信乐信灵活配置混合A,004608,http://fundf10.eastmoney.com/004608.html,黄韵
长信乐信灵活配置混合C,004609,http://fundf10.eastmoney.com/004609.html,黄韵
长信利信混合E,007294,http://fundf10.eastmoney.com/007294.html,黄韵
长信利信混合A,519949,http://fundf10.eastmoney.com/519949.html,黄韵
长信利信混合C,007293,http://fundf10.eastmoney.com/007293.html,黄韵
长信恒利优势混合,519987,http://fundf10.eastmoney.com/519987.html,刘亮
长信添利安心收益混合A,010199,http://fundf10.eastmoney.com/010199.html,朱垚
长信添利安心收益混合C,010200,http://fundf10.eastmoney.com/010200.html,朱垚
长信新利灵活配置混合,519969,http://fundf10.eastmoney.com/519969.html,黄韵
长信改革红利混合,519971,http://fundf10.eastmoney.com/519971.html,黄韵
长信利尚一年定开混合,004607,http://fundf10.eastmoney.com/004607.html,李家春
长信利泰灵活配置混合A,519951,http://fundf10.eastmoney.com/519951.html,黄韵
长信利泰灵活配置混合C,007863,http://fundf10.eastmoney.com/007863.html,黄韵
长信金利趋势混合,519995,http://fundf10.eastmoney.com/519995.html,高远
长信利泰灵活配置混合E,008071,http://fundf10.eastmoney.com/008071.html,黄韵
长信内需成长混合A,519979,http://fundf10.eastmoney.com/519979.html,安昀
长信内需成长混合E,006397,http://fundf10.eastmoney.com/006397.html,安昀
长信稳进资产配置(FOF),005976,http://fundf10.eastmoney.com/005976.html,杨帆
长信稳利一年持有期混合(FOF),009209,http://fundf10.eastmoney.com/009209.html,杨帆
长信颐天平衡养老(FOF)A,006872,http://fundf10.eastmoney.com/006872.html,杨帆
长信颐天平衡养老(FOF)C,006873,http://fundf10.eastmoney.com/006873.html,杨帆
长信先利半年定开混合C,008041,http://fundf10.eastmoney.com/008041.html,吴晖
长信先利半年定开混合A,003059,http://fundf10.eastmoney.com/003059.html,吴晖
长信睿进混合A,519957,http://fundf10.eastmoney.com/519957.html,叶松
长信睿进混合C,519956,http://fundf10.eastmoney.com/519956.html,叶松
长信先机两年定开混合,004806,http://fundf10.eastmoney.com/004806.html,张子乔
长信消费升级混合A,009778,http://fundf10.eastmoney.com/009778.html,安昀
长信消费升级混合C,009779,http://fundf10.eastmoney.com/009779.html,安昀
长信电子信息行业量化混合,519929,http://fundf10.eastmoney.com/519929.html,左金保
长信国防军工量化混合A,002983,http://fundf10.eastmoney.com/002983.html,宋海岸
长信国防军工量化混合C,008960,http://fundf10.eastmoney.com/008960.html,宋海岸
长信增利动态策略混合,519993,http://fundf10.eastmoney.com/519993.html,张子乔
长信企业优选一年持有混合,010861,http://fundf10.eastmoney.com/010861.html,叶松
人保沪深300指数,006600,http://fundf10.eastmoney.com/006600.html,彬彬
人保中证500指数,006611,http://fundf10.eastmoney.com/006611.html,彬彬
人保转型新动力混合A,005953,http://fundf10.eastmoney.com/005953.html,张丽华
人保转型新动力混合C,005954,http://fundf10.eastmoney.com/005954.html,张丽华
人保优势产业混合A,006419,http://fundf10.eastmoney.com/006419.html,彬彬
人保优势产业混合C,006420,http://fundf10.eastmoney.com/006420.html,彬彬
人保量化混合A,006225,http://fundf10.eastmoney.com/006225.html,彬彬
人保量化混合C,006226,http://fundf10.eastmoney.com/006226.html,彬彬
人保稳进配置三个月持有(FOF),009383,http://fundf10.eastmoney.com/009383.html,武丹
人保双利A,004988,http://fundf10.eastmoney.com/004988.html,朱锐
人保双利C,004989,http://fundf10.eastmoney.com/004989.html,朱锐
人保研究精选混合A,005041,http://fundf10.eastmoney.com/005041.html,郁琦
人保研究精选混合C,005042,http://fundf10.eastmoney.com/005042.html,郁琦
人保行业轮动混合A,006573,http://fundf10.eastmoney.com/006573.html,郁琦
人保行业轮动混合C,006574,http://fundf10.eastmoney.com/006574.html,郁琦
人保量化锐进混合A,008300,http://fundf10.eastmoney.com/008300.html,石晓冉
人保量化锐进混合C,008301,http://fundf10.eastmoney.com/008301.html,石晓冉
鹏华国证钢铁行业指数(LOF),502023,http://fundf10.eastmoney.com/502023.html,罗英宇
鹏华中证一带一路主题指数(LOF),160638,http://fundf10.eastmoney.com/160638.html,罗英宇
鹏华香港银行指数(LOF)A,501025,http://fundf10.eastmoney.com/501025.html,聂毅翔
鹏华香港银行指数(LOF)C,010365,http://fundf10.eastmoney.com/010365.html,聂毅翔
鹏华中证A股资源产业指数(LOF),160620,http://fundf10.eastmoney.com/160620.html,闫冬
鹏华中证银行指数(LOF),160631,http://fundf10.eastmoney.com/160631.html,张羽翔
鹏华中证环保产业指数(LOF),160634,http://fundf10.eastmoney.com/160634.html,闫冬
鹏华先进制造股票,000778,http://fundf10.eastmoney.com/000778.html,袁航
鹏华医药科技,001230,http://fundf10.eastmoney.com/001230.html,金笑非
鹏华香港中小企业指数LOF,501023,http://fundf10.eastmoney.com/501023.html,尤柏年
鹏华股息龙头ETF联接A,008622,http://fundf10.eastmoney.com/008622.html,罗捷
鹏华股息龙头ETF联接C,008623,http://fundf10.eastmoney.com/008623.html,罗捷
鹏华沪深300指数增强,005870,http://fundf10.eastmoney.com/005870.html,罗捷
鹏华价值精选股票,206012,http://fundf10.eastmoney.com/206012.html,张航
鹏华优势企业,005268,http://fundf10.eastmoney.com/005268.html,陈璇淼
鹏华沪深300指数(LOF)A,160615,http://fundf10.eastmoney.com/160615.html,张羽翔
鹏华沪深300指数(LOF)C,006939,http://fundf10.eastmoney.com/006939.html,张羽翔
鹏华优选价值股票,008134,http://fundf10.eastmoney.com/008134.html,伍旋
鹏华环保产业股票,000409,http://fundf10.eastmoney.com/000409.html,孟昊
鹏华医疗保健股票,000780,http://fundf10.eastmoney.com/000780.html,郎超
鹏华改革红利股票,001188,http://fundf10.eastmoney.com/001188.html,郭盈
